$bg_title:                  Фон
$m_face_title:              Лицо
$m_clothes_title:           Одежда
$m_eyes_title:              Глаза
$m_eyebrows_title:          Брови
$m_nose_title:              Нос
$m_mouth_title:             Рот
$m_hair_title:              Волосы
$m_beard_title:             Борода
$m_accessories_title:       Аксессуары
$f_face_title:              Лицо
$f_clothes_title:           Одежда
$f_eyes_title:              Глаза
$f_eyebrows_title:          Брови
$f_nose_title:              Нос
$f_mouth_title:             Рот
$f_hair_title:              Волосы
$f_accessories_title:       Аксессуары
