$bg_title:                  Background
$m_face_title:              Face
$m_clothes_title:           Clothes
$m_eyes_title:              Eyes
$m_eyebrows_title:          Eyebrows
$m_nose_title:              Nose
$m_mouth_title:             Mouth
$m_hair_title:              Hair
$m_beard_title:             Beard
$m_accessories_title:       Accessories
$f_face_title:              Face
$f_clothes_title:           Clothes
$f_eyes_title:              Eyes
$f_eyebrows_title:          Eyebrows
$f_nose_title:              Nose
$f_mouth_title:             Mouth
$f_hair_title:              Hair
$f_accessories_title:       Accessories
